Tai yra tiesa.	That's true.
Jis norėjo kad taksi vairuotojas pasuktų į kairę.	He wanted the taxi driver to turn left.
Jis paskaičiavo nuostolius.	He calculated the expenses.
Jos akys paplūdo ašaromis.	Her eyes filled with tears.
Kada tu sau nusipirksi naują nešiojamajį kompiuterį?	When will you buy yourself a new laptop?
Kalkuliatorius yra puikus išradimas.	The calculator is a wonderful invention.
Kas tau labiau patinka: suši ar tempura?	Which do you like better, sushi or tempura?
Kiek obelų auga tavo sode?	How many apple trees do you have in your orchard?
Kitą savaitę mano sūnus išvažiuoja į Prancuziją.	My son is going to leave for France next week.
Kodėl jūs nebevalgote mėsos?	Why don't you eat meat any more?
Kodėl tavo katės pasislėpė po antkolde?	Why did your cats hide under the blanket?
Kokios lovos tu mums patartum nepirkti?	What kind of bed would you advise us not to buy?
Kokios rūšies vyną rekomenduoji?	What kind of wine do you recommend?
Krepšinyje, aukšti žaidėjai turi pranašumą.	In basketball, tall players have an advantage.
Kuriam jūs teikiate pirmenybę?	Which one do you prefer?
Laimei niekas nesušlapo.	Luckily nobody got wet.
Manau, mums reikės daugiau skėčių.	I think we're going to need more umbrellas.
Man reikia atsuktuvo.	I need the screwdriver.
Mėgstu eiti į parką ir stebėti žaidimų aikštelėje besilinksminančius vaikus.	I like to go to the park and watch the children in the playground enjoying themselves.
Merė neįtarė, kad ji patinka jaunajam ūkininkui; ji mylėjo jį kaip brolį.	Mary had not suspected that the young farmer liked her; she loved him as a brother.
Merė nugalėjo "Mis Tatoeba" konkurse.	Mary won the Miss Tatoeba contest.
Mes atvykome truputį pavėlavę.	We've arrived a little late.
Mes pagaminom voverių formos sausainių.	We made some squirrel-shaped cookies.
Mes plaukiojome jūroje.	We swam in the sea.
Mikrobangos gali sukelti rimtos žalos.	Microwaves can cause serious damage.
Neptūnas yra aštuntoji Saulės sistemos planeta.	Neptune is the eighth planet of the solar system.
Nėra jokių kitų dievų, tik Allahas, ir Muhammedas yra jo pasiuntinys.	There is no god but God, and Muhammad is the messenger of God.
Nėra nė vienos japonų merginos vardu Tatoeba.	No Japanese girl is called Tatoeba.
Nėra nieko brangesnio už laiką, bet niekas nėra mažiau branginama.	Nothing is more valuable than time, but nothing is less valued.
Nė viena iš tų gėlių nėra plastikinė.	None of the flowers are made of plastic.
Ne visos interneto naršyklės yra saugios.	Not all internet browsers are safe.
Norėčiau rašyti šimtus sakinių Tatoeboje, tačiau turiu kitų reikalų.	I would love to write hundreds of sentences on Tatoeba, but I've got things to do.
Nusileidžiame nuo Gedimino kalno į Pilies gatvę.	We're going down the Gediminas hill to the Pilies street.
Orkaitė karšta, taigi būk atsargus, kad nenusidegintum.	The oven's hot so be careful not to burn yourself.
Pagal legendą, miške vaidenosi, taigi žmonės jo vengė.	According to legend, the wood used to be haunted, so people would avoid it.
Pagal mokslininkus, atmosfera tampa vis šiltesnė metai po metų.	According to scientists, the atmosphere is getting warmer year after year.
Palygink faktus.	Compare the facts.
Palyginkite savo sakinį su tuo ant lentos.	Compare your sentence with the one on the blackboard.
Palygink savo sakinį su tuo ant lentos.	Compare your sentence with the one on the blackboard.
Per Helouvyną kaukolės formos asteroidas praskrido šalia Žemės.	A skull shaped asteroid flew by the Earth on Halloween.
Ponia Lark grojo pianiną ir vaikai dainavo.	Mrs. Lark played the piano and the children sang.
Rūkytojai miršta jauni.	Smokers die young.
Rūmose gyvena karalius ir karalienė.	In the palace live the king and the queen.
Šiaurės Amerikos architektūroje ir gyvenimo būde vyrauja kairysis smegenų pusrutulis.	The left brain predominates the architecture and lifestyle in North America.
Ši knyga priklauso knygynui.	This book belongs to the library.
Šios dėžės yra trapios.	These boxes are fragile.
Šios suknelės yra per didėlės.	These dresses are too large.
Šis dizainas primena jo ankstyvesnįjį kūrinį.	This design resembles his earlier work.
Ši tvora yra nudažyta žaliai.	The fence is painted green.
Spausdintuve įstrigo popierius.	The printer had a paper jam.
Švedijos sostinė yra Stokholmas.	The capital of Sweden is Stockholm.
Tai yra viena priežasčių, dėl ko aš mėgstu Tatoebą.	This is one of the reasons why I love Tatoeba.
Tatoeba sukurta pridėti ir saugoti pavyzdiniams sakiniams.	Tatoeba is created for adding and collecting example sentences.
Tomas įjungė šviiesą ir įėjo vidun.	Tom turned on the light and walked in.
Tomas mėgsta lakrosą.	Tom likes lacrosse.
Tomas užsisegė saugos diržą.	Tom fastened his seatbelt.
Tomo marškiniai džiūva.	Tom's shirt is drying.
Tomo mirtis buvo išvengiama.	Tom's death was preventable.
Tuo metu, aš buvau studentas Jeile.	At that time, she was a student at Yale.
Tu turėtum būti pagarbi savo mokytojams.	You should be respectful to your teachers.
Vakarykštė audra atidėjo pašto pristatymą.	The thunderstorm yesterday delayed the delivery of the mail.
Viena iš Serbijos sąjunginikių buvo Rusija.	One of Serbia's allies was Russia.
Viena vertus, patyrėme didžiulius nuostolius, tačiau, kita vertus, daug ko pasimokėme iš šio patyrimo.	On the one hand we suffered a heavy loss, but on the other hand we learned a great deal from the experience.
Vien tik tai, kad tai yra Tatoeba.org duomenų bazėje, dar nereiškia, kad tai - sakinys.	Just because it's in Tatoeba.org's database, doesn't mean it's a sentence.
Visi mokiniai pamiršo perskatyti tą knygą.	All the students forgot to read that book.
Visos jų pastangos buvo beprasmiškos.	All their efforts were in vain.
Amerikietiškos virtuvės yra daug didesnės nei Japoniškos.	American kitchens are much bigger than Japanese ones.
Apsistokime kur nors, kur būtų geras susisiekimas su oro uostų.	Let's stay somewhere with easy airport access.
Arbata per stipri. Atskiesk ją vandeniu.	The tea is too strong. Add some water.
Ar kas nors žino kur galima nusupirkti gimtadieno kvietimų?	Does anyone know where you can buy birthday party invitations?
Ar manai kad valgyti genetškai modifikuotą maistą yra pavojinga?	Do you think it's dangerous to eat genetically modified food?
Ar negirdėjai klyksmo?	Didn't you hear the scream?
Ar numegsi man megztinį?	Will you knit a sweater for me?
Aš buvau nusivylęs dėl jos neatvykimo.	I was disappointed at her absence.
Aš buvau nusivylusi dėl jos neatvykimo.	I was disappointed at her absence.
Aš ėjau pesčiomis tik į vieną pusę.	I went on foot only one way.
Aš išsikeičiau jenas į dolerius.	I exchanged yen for dollars.
Aš mačiau juos žaidžiančius beisbolą.	I saw them play baseball.
Aš myliu Oksitanų kalbą.	I like the Occitan language.
Aš negaliu prisiminti kur aš padėjau gerąją siūvimo mašiną.	I can't remember where I put the good sewing machine.
Aš nekantraudamas laukiu naujos Tatoebos versijos.	I'm very impatient to see the new version of Tatoeba.
Aš nesuprantu kaip jis gali kalbėti neištraukdamas cigarėtės iš burnos.	I don't know how he can speak without taking the cigarette out of his mouth.
Aš nesuprantu kaip jis gali kalbėti su cigarėte burnoje.	I don't understand how he can speak with a cigarette in his mouth.
Aš norėjau tapti filosofu.	I wanted to become a philosopher.
Aš noriu būti kalbininkas.	I want to be a linguist.
Aš noriu nusipirkti brangesnį laikrodį.	I want to buy a more expensive watch.
Aš sutikau Keną parke.	I met Ken at the park.
Aš verčiau, aš verčiu, aš versiu, aš versčiau... bet tik jei uždirbčiau pinigų.	I translated, I translate, I will translate, I would translate... but only if I make money.
Auksas nerūdija.	Gold doesn't rust.
Bespalvės žalios mintys pasiutiškai miega.	Colorless green ideas sleep furiously.
Bobe aš atradau giminingą sielą.	I found a kindred spirit in Bob.
Cukrus tirpsta karštoje kavoje.	Sugar dissolves in hot coffee.
Dabar aš tikiu Mėnulio kolonizacija.	Now, I believe in lunar colonization.
Daug studijavau tiek kates, tiek filosofus. Kačių išmintis daugybę kartų pranašesnė.	I have much studied both cats and philosophers. The wisdom of cats is infinitely superior.
Elbrusas yra aukščiausias kalnas Europoje.	Mount Elbrus is the highest mountain in Europe.
Elektros energijos kompanijos siekia mažinti anglies suvartojimą.	Electric power companies are seeking to reduce their use of coal.
Gailiuosi nepaklausęs jo patarimo.	I regret not having taken his advice.
Gaisro atveju, išdaužkite stiklą ir nuspauskite raudoną mygtuką.	In case of fire, break the glass and push the red button.
Galime pasikliauti jo finansine parama.	We can count on him for financial help.
Galite parsisiųsti mūsų svetainės kalbančiųjų gimtąja kalba įrašytus garso failus.	You can download audio files by native speakers from our website.
Gerumas tai kalba, kurią kurtieji gali girdėti, o aklieji gali matyti.	Kindness is the language which the deaf can hear and the blind can see.
Herojus pagaliau įveikė piktąjį mokslininką.	The hero finally defeated the evil scientist.
Išskyrus Tomą, šeima žiūrėjo televizorių tylėdami.	Except for Tom, the family was all watching TV in silence.
Japonija importuoja įvairias žaliavas iš užsienio.	Japan imports various raw materials from abroad.
Jei aš būčiau buvusi turtinga, aš tau būčiau daviusi šiek tiek pinigų.	If I had been rich, I would have given you some money.
Jei pasisuksi šiaurėn, rytai bus tau iš dešinės.	If you face north, the east is on your right.
Ji dažė sieną.	She painted a wall.
Jie aptarė tą problemą.	They discussed the problem.
Jie neatkreipė dėmesio.	They didn't pay attention.
Ji įdarbino jį programuotoju.	She employed him as a programmer.
Ji keikė jį už tai kad jis pamiršo pažadą.	She cursed him for forgetting his promise.
Ji naudojo margariną vietoj sviesto.	She used margarine instead of butter.
Jis dirba kasdien išskyrus sekmadienius.	He works every day save Sundays.
Jis jau pilnametis, taigi jau gali balsuoti.	As he is already of age, he can vote.
Jis keikė jos likimą.	He cursed her fate.
Jis turėjo pilkus plaukus.	He had grey hair.
Jis turi vėšlią barzdą.	He's got a thick beard.
Jis veisia veršiukus pardavimui.	He breeds cattle for market.
Ji tapo įžymia dailininke.	She became a famous painter.
Ji tapo mokytoja kai jai buvo divešimt metų.	She became a teacher at the age of twenty.
Ji turi tris sūnus kuries tapo jūreiviais.	She has three sons, who became sailors.
Jos jauniausiam vaikui yra penkeri.	Her youngest child is five years old.
Jukiko mėgsta bulves.	Yukiko likes potatoes.
Juki! Puiku tave matyti ir vėl!	Yuki! It's great to see you again!
Kadaise aš norėjau tapti astrofiziku.	I once wanted to be an astrophysicist.
Kadaise Nigerija buvo Britų kolonija.	At one time Nigeria was a British colony.
Kadangi jis jau pilnametis, jis gali balsuoti.	As he is already of age, he can vote.
Kadangi Mario man pamelavo, aš jau su juo nebekalbu.	Since Mario lied to me, I don't speak to him anymore.
Kai aš mokiausi vidurinėje mokykloje, kasdien keldavausi šeštą valandą ryto.	Back in high school, I got up at 6 a.m. every morning.
Kai vyras ir moteris sujungia jėgas, darbas tampa nebe tokiu varginančiu.	When man and woman unite, work is no longer as tiring.
Kartoninės dėžės yra trapios.	The cardboard boxes are fragile.
Kenas mintinai išmoko daug japoniškų dainų.	Ken learned many Japanese songs by heart.
Kiek pandų yra šiame zoologijos sode?	How many pandas are there in this zoo?
Kuriam tu teiki pirmenybę?	Which one do you prefer?
Mačiau ją įeinančią į kambarį.	I saw her enter the room.
Malonu susipažinti. Esu skruzdėda.	Pleased to meet you. I am an anteater.
Mano mama davė man savo siūvimo mašiną.	My mother gave me her sewing machine.
Mano šuo virus su manimi eina.	My dog goes everywhere with me.
Manuo namuose nėra daug baldų.	There isn't much furniture in my house.
Marija yra knygėdis.	Mary is a bookworm.
Matau ją šluojančią kambarį.	I see her sweeping the room.
Matėme ją įeinančią į parką.	We saw her enter the park.
Merei trūksta delikatumo.	Mary is lacking in delicacy.
Merė žino kaip gerai pralesti laiką.	Mary knows how to have a good time.
Mėsa pagedo.	The meat spoiled.
Mes importuojame arbatą iš Indijos.	We import tea from India.
Mes importuojame kavą iš Brazilijos.	We import coffee from Brazil.
Mes išmatavome upės gylį.	We measured the depth of the river.
Mes kartu suradome gerą vietą pavalygti.	We all found a good place to eat.
Mes niekur negalime rasti geros siūvimo mašinos.	We can't find a good sewing machine anywhere.
Mes padarėme didelią klaidą.	We made a huge mistake.
Mes piešiame gyvūnus.	We are drawing animals.
Mes šaukėmės pagalbos, bet niekas neatėjo.	We shouted for help, but no one came.
Mes sėdėjome prie stalo ir tylėjome.	We sat at the table in silence.
Mes valgom sriubą su šaukštais.	We eat soup with a spoon.
Mokydamasis vidurinėje mokykloje aš kasdien keldavausi šeštą valandą ryto.	Back in high school, I got up at 6 a.m. every morning.
Muziejus yra vertas aplankymo.	The museum is worth visiting.
Nagoja yra į rytus nuo Kijoto.	Nagoya is to the east of Kyoto.
Nebūčiuok keistų berniukų!	Stop kissing strange boys!
Nekrapštyk nosies.	Don't pick your nose.
Nepalikite televizoriaus įjungto.	Don't leave the TV on.
Nepalik televizoriaus įjungto.	Don't leave the TV on.
Neplaukiok tame tvenkinyje.	Don't swim in that pond.
Nėra įvykio liūdytojų.	There are no witnesses of the accident.
Nerūkykite šiame kambaryje.	Don't smoke in this room.
